,PF_Current,PF_Expected,BC_12months,BC_5years,BuyConditions,Curr_Index,Exp_Index,Date,DGS,DGS_binary
1,77,110,84,86,133,81.1,70.1,201001,3.733157895,0
2,75,109,80,84,136,81.8,68.4,201002,3.691666667,0
3,77,112,78,82,136,82.4,67.9,201003,3.732727273,1
4,76,108,80,77,132,81,66.5,201004,3.844761905,1
5,77,110,83,82,132,81,68.8,201005,3.404210526,0
6,82,116,79,84,139,85.6,69.8,201006,3.2,0
7,74,109,66,73,123,76.5,62.3,201007,3.014,0
8,82,107,69,75,120,78.3,62.9,201008,2.684761905,0
9,82,108,61,73,123,79.6,60.9,201009,2.651,0
10,78,110,67,70,119,76.6,61.9,201010,2.54,0
11,81,109,71,78,131,82.1,64.8,201011,2.768421053,1
12,80,112,79,78,140,85.3,67.5,201012,3.306190476,1
13,85,110,87,80,126,81.8,69.3,201101,3.395789474,1
14,91,114,85,87,133,86.9,71.6,201102,3.581666667,1
15,80,103,60,67,133,82.5,57.9,201103,3.414545455,0
16,80,102,74,69,133,82.5,61.6,201104,3.454736842,1
17,83,106,84,88,128,81.9,69.5,201105,3.1615,0
18,84,108,74,77,128,82,64.7,201106,3.004285714,0
19,77,103,55,64,117,75.7,55.9,201107,2.991578947,0
20,68,99,40,48,108,68.5,47.6,201108,2.281818182,0
21,77,104,39,52,117,75.2,49.4,201109,1.9665,0
22,77,102,45,58,115,74.9,51.7,201110,2.170526316,1
23,79,106,52,60,120,77.4,54.9,201111,2.013684211,0
24,77,108,70,75,128,79.6,63.6,201112,1.9715,0
25,88,112,82,82,130,84.2,69.1,201201,1.966315789,0
26,87,109,82,90,128,83,70.3,201202,1.972631579,1
27,97,112,79,89,125,86,69.8,201203,2.17952381,1
28,88,110,87,92,126,82.9,72.3,201204,2.0445,0
29,93,113,91,94,132,87.2,74.3,201205,1.794761905,0
30,85,110,79,81,125,81.5,67.8,201206,1.63,0
31,83,108,74,79,130,82.7,65.6,201207,1.5225,0
32,90,108,73,78,139,88.7,65.1,201208,1.683636364,1
33,89,113,87,95,132,85.7,73.5,201209,1.730555556,1
34,99,118,96,103,128,88.1,79,201210,1.7515,1
35,97,116,97,98,137,90.6,77.7,201211,1.648947368,0
36,91,102,74,77,134,87,63.8,201212,1.723684211,1
37,85,107,84,75,135,85,66.6,201301,1.9175,1
38,90,110,87,84,140,89,70.2,201302,1.981111111,1
39,94,109,85,89,140,90.7,70.8,201303,1.962631579,0
40,96,105,86,80,137,89.9,67.8,201304,1.754285714,0
41,107,115,100,89,147,98,75.8,201305,1.940952381,1
42,100,115,104,93,143,93.8,77.8,201306,2.308947368,1
43,106,113,104,89,149,98.6,76.5,201307,2.586190476,1
44,102,118,95,82,144,95.2,73.7,201308,2.737142857,1
45,96,109,86,76,143,92.6,67.8,201309,2.806842105,1
46,96,107,67,74,136,89.9,62.5,201310,2.613809524,0
47,92,106,79,81,136,88,66.8,201311,2.722222222,1
48,100,108,94,86,156,98.6,72.1,201312,2.9065,1
49,104,114,93,77,147,96.8,71.2,201401,2.851,0
50,99,116,93,82,148,95.4,72.7,201402,2.715,0
51,100,117,88,75,148,95.7,70,201403,2.7295,1
52,110,117,101,81,146,98.7,74.7,201404,2.702,0
53,104,109,98,87,141,94.5,73.7,201405,2.5555,0
54,109,111,97,86,141,96.6,73.5,201406,2.6015,1
55,106,113,90,84,146,97.4,71.8,201407,2.54047619,0
56,113,118,88,80,145,99.8,71.3,201408,2.415,0
57,108,116,99,88,148,98.9,75.4,201409,2.54,1
58,107,124,105,90,147,98.3,79.6,201410,2.298571429,0
59,108,116,104,100,158,102.7,79.9,201411,2.323529412,1
60,114,123,116,108,158,104.8,86.4,201412,2.206666667,0
61,121,122,132,112,162,109.3,91,201501,1.868947368,0
62,121,126,118,109,156,106.9,88,201502,1.991666667,1
63,117,122,116,105,155,105,85.3,201503,2.040952381,1
64,120,124,124,109,158,107,88.8,201504,1.938095238,0
65,111,123,113,102,150,100.8,84.2,201505,2.201578947,1
66,119,125,125,104,163,108.9,87.8,201506,2.371904762,1
67,116,122,115,101,161,107.2,84.1,201507,2.31952381,0
68,120,124,111,100,152,105.1,83.4,201508,2.1675,0
69,111,121,100,93,151,101.2,78.2,201509,2.173,1
70,111,127,101,101,154,102.3,82.1,201510,2.071,0
71,111,122,106,105,160,104.3,82.9,201511,2.266666667,1
72,113,124,103,105,167,108.1,82.7,201512,2.247142857,0
73,110,124,107,102,166,106.4,82.7,201601,2.076666667,0
74,118,128,97,104,159,106.8,81.9,201602,1.769473684,0
75,119,127,100,100,155,105.6,81.5,201603,1.891904762,1
76,118,121,95,95,158,106.7,77.6,201604,1.806,0
77,123,128,107,106,162,109.9,84.9,201605,1.8025,0
78,124,125,104,102,164,110.8,82.4,201606,1.634285714,0
79,121,126,91,95,162,109,77.8,201607,1.506315789,0
80,118,119,97,99,159,107,78.7,201608,1.558636364,1
81,113,126,104,101,158,104.2,82.7,201609,1.6335,1
82,111,127,91,90,157,103.2,76.8,201610,1.771578947,1
83,117,126,109,107,162,107.3,85.2,201611,2.158421053,1
84,126,131,119,110,164,111.9,89.5,201612,2.494,1
85,124,130,121,112,165,111.3,90.3,201701,2.431578947,0
86,128,123,112,112,161,111.5,86.5,201702,2.415555556,0
87,132,128,116,103,162,113.2,86.5,201703,2.482727273,1
88,126,131,113,106,166,112.7,87,201704,2.294444444,0
89,126,129,119,105,164,111.7,87.7,201705,2.302380952,1
90,131,132,110,95,161,112.4,83.8,201706,2.185714286,0
91,132,122,111,89,163,113.4,80.5,201707,2.316315789,1
92,130,134,119,100,158,110.9,87.7,201708,2.206818182,0
93,128,133,110,97,162,111.7,84.4,201709,2.204210526,0
94,135,132,123,110,168,116.5,90.5,201710,2.361,1
95,127,132,123,103,168,113.5,88.9,201711,2.3525,0
96,127,127,119,93,168,113.8,84.3,201712,2.404210526,1
97,126,131,121,95,160,110.5,86.3,201801,2.59,1
98,133,133,124,105,166,114.9,90,201802,2.863333333,1
99,142,132,120,105,173,121.2,88.8,201803,2.844,0
100,133,131,113,111,165,114.9,88.4,201804,2.876,1
101,130,129,122,108,160,111.8,89.1,201805,2.978095238,1
102,136,128,117,102,166,116.5,86.3,201806,2.9135,0
103,133,134,116,101,164,114.4,87.3,201807,2.89,0
104,133,131,118,101,154,110.3,87.1,201808,2.884090909,0
105,135,135,123,106,164,115.2,90.5,201809,3.01,1
106,130,131,123,105,163,113.1,89.3,201810,3.155238095,1
107,130,129,117,109,161,112.3,88.1,201811,3.115789474,0
108,133,129,118,102,169,116.1,87,201812,2.832631579,0
109,127,131,92,97,155,108.8,79.9,201901,3.733157895,0
110,124,133,108,99,158,108.5,84.4,201902,3.733157895,0
111,138,131,124,102,156,113.3,88.8,201903,3.733157895,0
112,133,136,115,100,159,112.3,87.4,201904,3.733157895,0
113,134,135,130,112,151,110,93.5,201905,3.733157895,0
114,131,134,121,104,160,111.9,89.3,201906,3.733157895,0
115,131,137,122,106,156,110.7,90.5,201907,3.733157895,0